id,stock_id,current_price,last_updated,details
292,11,0.2968,2025-07-15 15:17:03.042,"{""source"": ""WS""}"
293,3,158.87,2025-07-15 15:17:04.976,"{""source"": ""WS""}"
294,8,92.89,2025-07-15 15:17:04.092,"{""source"": ""WS""}"
295,14,2.512,2025-07-15 15:17:04.425,"{""source"": ""WS""}"
296,6,2.8759,2025-07-15 15:17:05.478,"{""source"": ""WS""}"
297,2,2996,2025-07-15 15:17:05.621,"{""source"": ""WS""}"
298,19,3.89,2025-07-15 15:17:04.177,"{""source"": ""WS""}"
299,18,18.04,2025-07-15 15:16:57.097,"{""source"": ""WS""}"
300,20,0.7188,2025-07-15 15:17:05.639,"{""source"": ""WS""}"
301,15,0.4473,2025-07-15 15:17:05.311,"{""source"": ""WS""}"
302,4,0.19084,2025-07-15 15:17:05.208,"{""source"": ""WS""}"
303,13,4.507,2025-07-15 15:17:03.003,"{""source"": ""WS""}"
304,7,20.9,2025-07-15 15:17:04.04,"{""source"": ""WS""}"
305,10,15.36,2025-07-15 15:17:04.508,"{""source"": ""WS""}"
306,12,9.027,2025-07-15 15:17:04.542,"{""source"": ""WS""}"
307,17,2.5,2025-07-15 15:17:02.853,"{""source"": ""WS""}"
308,9,486.5,2025-07-15 15:17:03.71,"{""source"": ""WS""}"
309,6,2.8751,2025-07-15 15:17:08.297,"{""source"": ""WS""}"
310,3,158.83,2025-07-15 15:17:08.314,"{""source"": ""WS""}"
311,4,0.19065,2025-07-15 15:17:09.801,"{""source"": ""WS""}"
312,10,15.36,2025-07-15 15:17:08.176,"{""source"": ""WS""}"
313,20,0.7184,2025-07-15 15:17:09.712,"{""source"": ""WS""}"
314,15,0.4471,2025-07-15 15:17:08.616,"{""source"": ""WS""}"
315,8,92.84,2025-07-15 15:17:09.657,"{""source"": ""WS""}"
316,19,3.889,2025-07-15 15:17:07.599,"{""source"": ""WS""}"
317,1,116303.82,2025-07-15 15:17:09.786,"{""source"": ""WS""}"
318,7,20.89,2025-07-15 15:17:07.54,"{""source"": ""WS""}"
319,13,4.506,2025-07-15 15:17:06.383,"{""source"": ""WS""}"
320,2,2995.12,2025-07-15 15:17:10.084,"{""source"": ""WS""}"
321,14,2.511,2025-07-15 15:17:08.25,"{""source"": ""WS""}"
322,17,2.5,2025-07-15 15:17:08.615,"{""source"": ""WS""}"
323,12,9.024,2025-07-15 15:17:08.972,"{""source"": ""WS""}"
324,9,486.4,2025-07-15 15:17:08.615,"{""source"": ""WS""}"
325,11,0.2968,2025-07-15 15:17:08.276,"{""source"": ""WS""}"
326,18,18.03,2025-07-15 15:17:08.969,"{""source"": ""WS""}"
327,3,158.88,2025-07-15 15:17:25.668,"{""source"": ""WS""}"
328,1,116359.25,2025-07-15 15:17:25.507,"{""source"": ""WS""}"
329,2,2996.46,2025-07-15 15:17:24.703,"{""source"": ""WS""}"
330,20,0.7188,2025-07-15 15:17:24.705,"{""source"": ""WS""}"
331,4,0.19069,2025-07-15 15:17:24.652,"{""source"": ""WS""}"
332,14,2.512,2025-07-15 15:17:24.65,"{""source"": ""WS""}"
333,6,2.875,2025-07-15 15:17:25.552,"{""source"": ""WS""}"
334,19,3.889,2025-07-15 15:17:13.488,"{""source"": ""WS""}"
335,12,9.037,2025-07-15 15:17:24.807,"{""source"": ""WS""}"
336,11,0.2967,2025-07-15 15:17:22.871,"{""source"": ""WS""}"
337,17,2.5,2025-07-15 15:17:10.474,"{""source"": ""WS""}"
338,7,20.89,2025-07-15 15:17:22.542,"{""source"": ""WS""}"
339,15,0.4473,2025-07-15 15:17:25.621,"{""source"": ""WS""}"
340,8,92.85,2025-07-15 15:17:25.115,"{""source"": ""WS""}"
341,10,15.36,2025-07-15 15:17:19.447,"{""source"": ""WS""}"
342,9,486.5,2025-07-15 15:17:25.586,"{""source"": ""WS""}"
343,13,4.505,2025-07-15 15:17:22.69,"{""source"": ""WS""}"
344,18,18.04,2025-07-15 15:17:23.586,"{""source"": ""WS""}"
345,12,9.034,2025-07-15 15:17:35.235,"{""source"": ""WS""}"
346,20,0.7189,2025-07-15 15:17:35.9,"{""source"": ""WS""}"
347,3,158.9,2025-07-15 15:17:35.908,"{""source"": ""WS""}"
348,11,0.2968,2025-07-15 15:17:36.029,"{""source"": ""WS""}"
349,6,2.8755,2025-07-15 15:17:35.194,"{""source"": ""WS""}"
350,1,116363.85,2025-07-15 15:17:35.388,"{""source"": ""WS""}"
351,2,2996.8,2025-07-15 15:17:36.005,"{""source"": ""WS""}"
352,4,0.19067,2025-07-15 15:17:35.783,"{""source"": ""WS""}"
353,15,0.4472,2025-07-15 15:17:35.598,"{""source"": ""WS""}"
354,14,2.512,2025-07-15 15:17:35.195,"{""source"": ""WS""}"
355,7,20.89,2025-07-15 15:17:35.202,"{""source"": ""WS""}"
356,8,92.84,2025-07-15 15:17:33.915,"{""source"": ""WS""}"
357,17,2.501,2025-07-15 15:17:28.083,"{""source"": ""WS""}"
358,9,486.5,2025-07-15 15:17:33.493,"{""source"": ""WS""}"
359,10,15.35,2025-07-15 15:17:28.363,"{""source"": ""WS""}"
360,19,3.889,2025-07-15 15:17:32.146,"{""source"": ""WS""}"
361,18,18.03,2025-07-15 15:17:34.061,"{""source"": ""WS""}"
362,3,158.92,2025-07-15 15:17:45.153,"{""source"": ""WS""}"
363,6,2.8753,2025-07-15 15:17:45.924,"{""source"": ""WS""}"
364,1,116366.56,2025-07-15 15:17:46.061,"{""source"": ""WS""}"
365,17,2.502,2025-07-15 15:17:40.928,"{""source"": ""WS""}"
366,15,0.4472,2025-07-15 15:17:45.405,"{""source"": ""WS""}"
367,10,15.37,2025-07-15 15:17:43.244,"{""source"": ""WS""}"
368,2,2997.28,2025-07-15 15:17:45.917,"{""source"": ""WS""}"
369,12,9.038,2025-07-15 15:17:43.615,"{""source"": ""WS""}"
370,4,0.19073,2025-07-15 15:17:44.81,"{""source"": ""WS""}"
371,14,2.513,2025-07-15 15:17:43.612,"{""source"": ""WS""}"
372,7,20.89,2025-07-15 15:17:42.549,"{""source"": ""WS""}"
